bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2024-04-01,COMMIT_CODE,9P1F1zoPN095sU9oVRreeQ9dn0FB4ghulmA7qcExXyU=,davidqhr,jojoexchange,R/brPbiaD8+ZOgc2k4NVBYT3oWYh50xHrkVT0zKFP94=,BUILDER
2024-02-01,COMMIT_CODE,GIP5ezHE5PdVUOIpexZtNLPXI0Ucn/ufXSl6W66YCU8=,zzomrot,1inch,Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,BUILDER
2025-01-01,COMMIT_CODE,3h8Mf3+khjCocPDehFAwMgKZKHA/hztZlDKR5j8yAyk=,cmd-ob,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-01-01,COMMIT_CODE,B5o1VWEZaBpy+tyRvW0kaRMLhy1qa0Ofn7y72eWKC9E=,oveddan,ourzora,sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,BUILDER
2024-01-01,COMMIT_CODE,5iXowpovVBQCq+RtCud/x8L4PdaiCo6xxdwhWt6UBeA=,ashar2shahid,api3dao,0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,BUILDER
2024-04-01,COMMIT_CODE,KUJxGbF8cFnvm0CvqENB46I89pbnxIubnLc+nFlXN9I=,fb-alexcq,woonetwork,SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,BUILDER
2024-08-01,COMMIT_CODE,/KgN88gGvifTLMEydIdGlT4vJo702Ai9OvLpN6cyZBo=,bsx-engineering,bsx-exchange,SH2lIijMOWBaAgXBMTxSXP6tlcGn5Hy3mzZ+eFmNRss=,BUILDER
2025-01-01,COMMIT_CODE,/KgN88gGvifTLMEydIdGlT4vJo702Ai9OvLpN6cyZBo=,bsx-engineering,bsx-exchange,SH2lIijMOWBaAgXBMTxSXP6tlcGn5Hy3mzZ+eFmNRss=,BUILDER
2024-10-01,COMMIT_CODE,GRNv0c7OqsJQNFixV9OPYFe24wed0bb437KT0LljHis=,aj-maz,hai-on-op,om+w927v3zYcmk77AShf/wH4sac6MkhpIWBW0H/wYkE=,BUILDER
2024-05-01,COMMIT_CODE,i+UxgXMCPtqLWO1PEBLhoVWiT70oN/Psk8H33Wht58g=,alexherman1,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-03-01,COMMIT_CODE,i+UxgXMCPtqLWO1PEBLhoVWiT70oN/Psk8H33Wht58g=,alexherman1,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-09-01,COMMIT_CODE,i+UxgXMCPtqLWO1PEBLhoVWiT70oN/Psk8H33Wht58g=,alexherman1,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-04-01,COMMIT_CODE,i+UxgXMCPtqLWO1PEBLhoVWiT70oN/Psk8H33Wht58g=,alexherman1,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-03-01,COMMIT_CODE,i+UxgXMCPtqLWO1PEBLhoVWiT70oN/Psk8H33Wht58g=,alexherman1,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2023-03-01,PULL_REQUEST_OPENED,GIP5ezHE5PdVUOIpexZtNLPXI0Ucn/ufXSl6W66YCU8=,zzomrot,nomicfoundation,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,DEVTOOL
2019-08-01,FORKED,A0Tr+xfonvvI9b1We2L6lEPZeY4rUDCtNcXsC177OlA=,garethfuller,openzeppelin,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,DEVTOOL
2024-02-01,ISSUE_COMMENT,UfmEoDOnK1YdmbOYRp2KPaUXuxmNi00XAiZhAyHUiGk=,ggomaeng,defillama,RKXiQ+QWuPsIuoADOdKR8u5M0aV1ybzkcgt8oT70hcw=,DEVTOOL
2024-07-01,ISSUE_OPENED,pZywPC4AKOqxkHn6KY1rNJTvHYQl6HwNupb0AHvT/V0=,nambrot,openzeppelin,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,DEVTOOL
