project_id,project_name,display_name,fork_count,star_count,num_packages_in_deps_dev
RKXiQ+QWuPsIuoADOdKR8u5M0aV1ybzkcgt8oT70hcw=,0xae07bfec2c3c90937679f8c8c5c32e80407c09903aa03d1b5e5a075e67592b86,DefiLlama,2257,331,0
qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25,OpenZeppelin Contracts,1260,3606,48
D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8,Solidity,1089,3546,15
kIyB4KSX790MWeIzhuzNRuURff8uRN3K7uEmYc+PuqA=,0x154a42e5ca88d7c2732fda74d6eb611057fc88dbe6f0ff3aae7b89c2cd1666ab,🏗️  Scaffold-ETH 2,856,1176,2
6bUEGWtffrx4mCWJv1FdyFtqQDedZHE9cZ3NmrfOmq4=,0x663e4d25ca3f327365240471b4831ea3c989cb132bbf6ae8f5c1e15268591795,Blockscout open-source block explorer,835,1099,0
SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,0x6bd057da522918a4675396313ae33a2f2788a1ceeb3bd7ae228015e3eb317a7d,Viem: TypeScript Interface for Ethereum,790,1166,12
0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,0xc0615947773148cbc340b175fb9afc98dbb4e0acd31d018b1ee41a5538785abf,Wagmi: Reactive primitives for Ethereum apps ,562,1623,37
v9q8POh6Q9wmSNGAUbW3XjqApK9TOvyiFsvfmOpaEec=,0xebe03c3d6d33cad60124b9b05ef6e2ff056293a1de3c5fa51dfbb90c86c14bf7,web3.py,542,1148,18
GIw4cdpV5Nt23oJZBcYq68JV5NTEbXHcX+yWnW62Z8o=,0xc6052138bbdae5976fa2866f46b0537182d4126c4bb97485738d1b43f2276134,thirdweb,507,475,39
OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,0xa3d07f453f70d844196d89d79848aa2e70a0bd8b38bf0f493cba1547bb3bca5e,Ethers.js,398,1243,2218
H2p6ZEPnv576Z8J4kfoovzAtg0SAMqG/HzQDAoZkJOA=,0xb2d109759fe14e11ac5cc100ab6006321ebdd7ffdefbd2efac93a002105f8e92,Revm,381,682,19
cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,0x7f330267969cf845a983a9d4e7b7dbcca5c700a5191269af377836d109e0bb69,IPFS,374,1776,153
DfSkG9e/kLoY4f6vGN2ENGR29QVNtpye7gux017Wg5U=,0x754c37e401e2527ab24b9d7ca3e042bfcbfebeef54a533f8833d46242d2c3017,Remix Project,371,552,12
PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,0x670a2982f6d7786b58a8399bcabc23246365b21e533a97945e055791fc235e64,Hardhat,369,1461,68
uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532,Snapshot,295,3911,0
DcuCQqzp4PkExNi9HdL/D3xoGk+8Egelwnj2kL+Fw7c=,0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c,Rust Libp2p,267,1034,107
Fl3O8Ez0wQeEb5Hy/pug5OM0n+d4al5scUTbVdr5r4s=,0xdc3dce33fd5fb50cf932586d4257456ddf5040ba0955d97641646504c73dbd13,Slither,190,956,1
VX361jrBrvz2/vC9Ms9xPzOAkPO5CJLOs4FSPmjKFHs=,0xc71faa1bcb4ceb785816c3f22823377e9e5e7c48649badd9f0a0ce491f20d4b3,go-libp2p,190,827,5
1MvSmaSGrb163SWKc3GOGOVPaulh39cM9SVPdACdDr4=,0x17fb589e599fe05e532b90c121eccc55b1249301e783dae226bad698872322da,The Ethernaut,180,405,0
jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,0x9151666888d0ca532a529be98a50d2eb992988117e202163f865fa9a27eb7149,Solady,174,1092,1
Ckisx4Wdj90qxb5+C5EoZhjiNPZKOQ/zjfj6Qx666gU=,0xc0ad090a80d748c19dce84d17f85d7b0016daa1c35f72ada2d92f469f8a77067,rotki,155,697,0
jsNOONeRmUXt8ZCZmegwrlYTilEGRf5gu9b+7E2gNHE=,0x51cda5996ef1a2ccd8fcf4ee5792337695599454c83eb1218c3ad4388dcb5bf5,Sourcify,149,172,10
rnCU69afAeJVsln1gXM1Pt6cMqD09FFS5C8Q38NWifM=,0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,Passport XYZ | Gitcoin Passport,133,365,0
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,121,234,15
TbN34ObgR9NMlnD59Do7k4jhs4yKMWPTYYyWXkfut9A=,0x351967474a454b494260a488f3ceb77d993580a4fe79fb6b6d132c70634bc516,Ponder,113,457,13
J8oQzHF/fe+xFyOab7RW2WJKkmhybbpdGAJWp8zBqjc=,0x9d93ec97ef2d3bd4c2b8d95abac9ce0cf43e4f3eb1f05709f8282da8200e69ee,Frames.js,110,350,5
+ss9G+TaR12Qyecrc+rlT6f/fnE0jMwk5WNdtsvXn7o=,0xdd81f0fbb21c949e5d67176b22a39cfdc7c774349214a450df78eb31174413db,beaconcha.in,108,177,1
wZrWrLFXX5iFOMmy/iwbo5/zjo/o68H6jud5u9sxawM=,0x9ca1f7b0e0d10d3bd2619e51a54f2e4175e029c87a2944cf1ebc89164ba77ea0,Vyper,107,375,1
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),88,161,6
M4zu02WbVY+1AcNtrRRzxU+clAoOn8qRDaFvAgY5Ljk=,0x4a5e771af86cf1938056b43cddbf0018dca1376d578f631f7449fe10ac4958ed,Nethereum,88,168,134
jVWJQz4HfEygXcD32rZL/keI+MFY6gEO6kKkhes0OIY=,0xa7d78d566bfa319479ec048c94c3d8c1f4d628a9344ba157fc4974dbf472dc3e,Aderyn,77,401,1
JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,0x9b639cc6061e41a1d12adb39619a2fddb7005074cf965a3a6f4eabc6eea31112,Ronan Sandford,77,258,23
5/9fRbVoDF7pHwBdiMbNUbKhidEt/12Ojt9f8cWoZnQ=,0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,Velodrome Finance,74,117,0
JiJ2H5QvNLbljLo2b/7BotyQNHj8MycH7W5ZnixYtwE=,0x5a7e7c7acb21521e99021d746740b368801cbfe531301e50bdbaafdc24a0aac5,js-libp2p,70,295,367
J4Ws0law1PGPMKF6QjQrLAwaWHAOL6D2hzbV55UrPJs=,0x44ff313ae6fb57054de6d637adae710594180239badaf2bc51889d068f4cf02b,Modular Account,67,137,0
hjV6HsTEOKJ88nJuwSqzjdEsO16HeGuCD33EmN3xV/M=,0xa0b16714baef75d97ec07fd48eaf42e79df92fe2a3c2d725d2388ede587ea54c,Ape Framework,67,284,4
fFZ4/okuS+whKFMNfZiydVjZdIbOulD8cc5DbiChoZY=,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,Py-libp2p: Enabling Scalable P2P for OP Stack & Filecoin Builders,62,127,1
