bucket_month,project_id,developer_id,developer_name,event_type,repo_artifact_namespace,relationship_type
2024-10-01,De9rPibq2byeHyJiieLkyG+PZXw06P8mJPoFjYIvTTU=,G1QK8jshB0InGmP1g2mrX8iJLQWqQZdyv7fTGHQHiq8=,smol-ninja,COMMIT_CODE,sablier-labs,BUILDER
2024-10-01,cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,41vnEAoobfVLcFDjulC/oEsNKYidHgYqO8HQZsT/ZSE=,chef-yogi,COMMIT_CODE,pancakeswap,BUILDER
2024-02-01,De9rPibq2byeHyJiieLkyG+PZXw06P8mJPoFjYIvTTU=,G1QK8jshB0InGmP1g2mrX8iJLQWqQZdyv7fTGHQHiq8=,smol-ninja,COMMIT_CODE,sablier-labs,BUILDER
2025-01-01,hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,78xSu5UHSX0Ybbb397I6CUpoIm7z2D6JqWOWeHV8mqs=,alexmance,COMMIT_CODE,aave,BUILDER
2025-01-01,g2gW16kX/8gl4n71esfphgWmt4r2COs4Bc9cGM9025Q=,G1QK8jshB0InGmP1g2mrX8iJLQWqQZdyv7fTGHQHiq8=,smol-ninja,COMMIT_CODE,sablier-labs,BUILDER
2024-10-01,SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,KUJxGbF8cFnvm0CvqENB46I89pbnxIubnLc+nFlXN9I=,fb-alexcq,COMMIT_CODE,woonetwork,BUILDER
2024-05-01,p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,A0Tr+xfonvvI9b1We2L6lEPZeY4rUDCtNcXsC177OlA=,garethfuller,COMMIT_CODE,balancer,BUILDER
2024-05-01,gUAJqDzlGG+FoZlO0a2/gjAMHgPjyorXA2SSKShTWcI=,B5o1VWEZaBpy+tyRvW0kaRMLhy1qa0Ofn7y72eWKC9E=,oveddan,COMMIT_CODE,ourzora,BUILDER
2024-07-01,kCF+D9wyJM2PvCFVlX9aKksPQmQEIKOsEnQUW3Bipog=,cW5JX2A+8+ccKlRtQcUxwEhHQ29qD3D/ah58kDZR27Q=,marko-roy,COMMIT_CODE,kwenta,BUILDER
2024-07-01,TsV9kZbHU7k/zigTlg8d7fFUcJ8Kn8YkaluyCauxUtM=,pZywPC4AKOqxkHn6KY1rNJTvHYQl6HwNupb0AHvT/V0=,nambrot,COMMIT_CODE,hyperlane-xyz,BUILDER
