project_id,project_name,display_name,total_transaction_count,total_gas_fees,total_active_addresses_count
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,296739144,9728.068302981903,1404902
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,154845589,6264.8517556848365,52846769
cfmwZDvctHcadAj22c5ryMVMY+DoYwU6xVsCPRwFuec=,gfx-labs,gfx labs,98316074,6916.321181721282,26568519
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,57137353,265.3233218349739,518089
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,56318779,1832.2793903849024,932912
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,25894572,367.49553676056655,1030835
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,22635189,1733.1008760453917,2470
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,22107820,1312.3381286428219,119903
CKGgGNE6y4hKi6Vpzrv2lG6Q1h4Vzs7LARQ6MKBNbVg=,party-dao,Party DAO,18989540,8.435414334512798,94410
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,15858214,101.63876122001425,737106
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,14510494,65.03607546248125,821246
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,14300005,63.51091416909754,817564
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,13511091,344.93251826411284,1304050
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,12295365,181.82371416026314,1175223
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,baseswapfi,BaseSwap,12261535,112.07642145112814,844231
