project_id,stars,forks,contributors,dependents,normalized_stars,normalized_forks,normalized_contributors,normalized_dependents,score
qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,3376,1151,126,386.0,0.8638689866939611,1.0,0.9920634920634921,0.9974093264248705,0.5842814623670687
D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,3319,1012,102,279.0,0.8492835209825998,0.8792354474370113,0.8015873015873016,0.7202072538860104,0.4772108079366235
OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,1171,374,127,387.0,0.2996417604912999,0.32493483927019984,1.0,1.0,0.46245765997615
GIw4cdpV5Nt23oJZBcYq68JV5NTEbXHcX+yWnW62Z8o=,444,461,32,358.0,0.11361310133060389,0.4005212858384014,0.24603174603174602,0.9248704663212435,0.28559388118749846
PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,1355,344,71,194.0,0.3467246673490276,0.2988705473501303,0.5555555555555556,0.5,0.2756706325810269
SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,1083,744,55,136.0,0.2771238485158649,0.6463944396177237,0.42857142857142855,0.34974093264248707,0.24801430105614203
0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,1564,541,40,95.0,0.4002047082906858,0.47002606429192006,0.30952380952380953,0.24352331606217617,0.19763250237545774
v9q8POh6Q9wmSNGAUbW3XjqApK9TOvyiFsvfmOpaEec=,1065,517,30,138.0,0.272517911975435,0.44917463075586445,0.23015873015873015,0.3549222797927461,0.1891854562634252
jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,1025,168,60,99.0,0.26228249744114635,0.14596003475238922,0.46825396825396826,0.2538860103626943,0.18525224894268608
uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,3908,291,20,57.0,1.0,0.2528236316246742,0.15079365079365079,0.14507772020725387,0.1844566373626484
JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,246,77,51,134.0,0.06294779938587512,0.06689834926151172,0.3968253968253968,0.344559585492228,0.16126161132826367
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,207,108,18,221.0,0.052968270214943707,0.09383145091225022,0.1349206349206349,0.5699481865284974,0.15565373640254587
