project_id,display_name,stars,forks,contributors,dependents,commit_volume,pull_requests,fork_events,unique_committers,forks_to_import_ratio,normalized_stars,normalized_forks,normalized_contributors,normalized_dependents,normalized_commit_volume,normalized_pull_requests,normalized_forks_to_import_ratio,score
RKXiQ+QWuPsIuoADOdKR8u5M0aV1ybzkcgt8oT70hcw=,DefiLlama,331,2257,112,512.0,0.0,306.0,76.0,0.0,76.0,0.08463308616722066,1.0,0.8740157480314961,1.0,0.0,1.0,1.0,0.6958648834198716
qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,OpenZeppelin Contracts,3606,1260,128,429.0,5.0,51.0,84.0,1.0,42.0,0.9220148299667604,0.5582631812140009,1.0,0.837573385518591,0.19230769230769232,0.16666666666666666,0.5526315789473685,0.5426005079114029
o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,Cannon,38,12,14,283.0,26.0,88.0,0.0,3.0,0.0,0.009716185118895423,0.005316792202038104,0.10236220472440945,0.5518590998043053,1.0,0.2875816993464052,0.0,0.37962767803467645
OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,Ethers.js,1243,398,128,383.0,0.0,22.0,34.0,0.0,34.0,0.3178215290207108,0.17634027470093044,1.0,0.7475538160469667,0.0,0.0718954248366013,0.4473684210526316,0.35804287065414087
D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,Solidity,3546,1089,100,271.0,0.0,9.0,18.0,0.0,18.0,0.9066734850421887,0.4824988923349579,0.7795275590551181,0.5283757338551859,0.0,0.029411764705882353,0.23684210526315788,0.3521117038817559
SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,Viem: TypeScript Interface for Ethereum,1166,790,59,157.0,0.0,45.0,32.0,0.0,32.0,0.29813346970084376,0.3500221533008418,0.4566929133858268,0.30528375733855184,0.0,0.14705882352941177,0.42105263157894735,0.2430586329702387
PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,Hardhat,1461,369,70,200.0,0.0,20.0,14.0,0.0,14.0,0.3735617489133214,0.1634913602126717,0.5433070866141733,0.38943248532289626,0.0,0.06535947712418301,0.18421052631578946,0.21741546469501144
0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,Wagmi: Reactive primitives for Ethereum apps ,1623,562,42,104.0,0.0,32.0,18.0,0.0,18.0,0.414983380209665,0.24900310146211785,0.3228346456692913,0.20156555772994128,0.0,0.10457516339869281,0.23684210526315788,0.18359446748615005
uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,Snapshot,3911,295,20,60.0,1.0,21.0,7.0,1.0,3.5,1.0,0.13070447496677004,0.14960629921259844,0.11545988258317025,0.038461538461538464,0.06862745098039216,0.046052631578947366,0.17714611498085175
wZrWrLFXX5iFOMmy/iwbo5/zjo/o68H6jud5u9sxawM=,Vyper,375,107,23,191.0,0.0,31.0,17.0,0.0,17.0,0.09588340577857325,0.047408063801506424,0.1732283464566929,0.37181996086105673,0.0,0.10130718954248366,0.2236842105263158,0.14864583273701693
v9q8POh6Q9wmSNGAUbW3XjqApK9TOvyiFsvfmOpaEec=,web3.py,1148,542,27,130.0,0.0,13.0,9.0,0.0,9.0,0.29353106622347225,0.24014178112538767,0.2047244094488189,0.25244618395303325,0.0,0.042483660130718956,0.11842105263157894,0.14466779975967622
Fl3O8Ez0wQeEb5Hy/pug5OM0n+d4al5scUTbVdr5r4s=,Slither,956,190,58,130.0,0.0,11.0,7.0,0.0,7.0,0.24443876246484275,0.08418254319893664,0.44881889763779526,0.25244618395303325,0.0,0.03594771241830065,0.09210526315789473,0.14463332592021372
jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,Solady,1092,174,58,85.0,0.0,3.0,8.0,0.0,8.0,0.2792124776272053,0.07709348692955251,0.44881889763779526,0.1643835616438356,0.0,0.00980392156862745,0.10526315789473684,0.1258762986514216
JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,Ronan Sandford,258,77,48,123.0,0.0,13.0,13.0,0.0,13.0,0.06596778317565839,0.034116083296411165,0.3700787401574803,0.23874755381604695,0.0,0.042483660130718956,0.17105263157894737,0.1203677666102029
l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,MerkleTreeJS,135,25,25,44.0,10.0,1.0,3.0,1.0,1.5,0.034518026080286375,0.011076650420912717,0.1889763779527559,0.08414872798434442,0.38461538461538464,0.0032679738562091504,0.019736842105263157,0.11983720694710946
kIyB4KSX790MWeIzhuzNRuURff8uRN3K7uEmYc+PuqA=,🏗️  Scaffold-ETH 2,1176,856,19,37.0,0.0,3.0,8.0,0.0,8.0,0.30069036052160575,0.3792645104120514,0.14173228346456693,0.07045009784735812,0.0,0.00980392156862745,0.10526315789473684,0.10874583511249322
1zxp1YeWLiiPAWMUZMEkaQWCqtPNsPEF8TKEssAW96M=,Titanoboa,74,28,12,130.0,3.0,31.0,6.0,2.0,2.0,0.018920992073638454,0.012405848471422242,0.08661417322834646,0.25244618395303325,0.11538461538461539,0.10130718954248366,0.02631578947368421,0.1082532781007356
